,Id,name,Function,Best-hit-arabi-name,arabi-symbol,arabi-defline,GO term
0,GRMZM2G084799,p1,(M=3) PF00249//PF06640 - Myb-like DNA-binding domain // P protein C-terminus,AT2G47460.1,"ATMYB12,MYB12,PFG1",myb domain protein 12,"GO:0003682,GO:0003677"
1,GRMZM2G053177,,,,,,
2,AC148152.3_FG001,,"(M=37) KOG4412 - 26S proteasome regulatory complex, subunit PSMD10",AT1G03670.1,,ankyrin repeat family protein,GO:0005515
3,GRMZM2G054678,,"(M=107) PF02902 - Ulp1 protease family, C-terminal catalytic domain",AT4G15880.1,"ATESD4,ESD4",Cysteine proteinases superfamily protein,"GO:0006508,GO:0008234"
4,GRMZM2G434252,,,,,,
5,GRMZM2G179143,,(M=136) KOG0156 - Cytochrome P450 CYP2 subfamily,AT3G03470.1,CYP89A9,"cytochrome P450, family 87, subfamily A, polypeptide 9","GO:0004497,GO:0046872,GO:0020037,GO:0016705,GO:0009055,GO:0055114"
6,GRMZM2G135536,,(M=136) KOG0156 - Cytochrome P450 CYP2 subfamily,AT1G64940.1,CYP89A6,"cytochrome P450, family 87, subfamily A, polypeptide 6","GO:0004497,GO:0046872,GO:0020037,GO:0016705,GO:0009055,GO:0055114"
7,AC166636.1_FG009,,(M=7) PTHR12537:SF13 - PUMILIO-RELATED,AT1G78160.1,"APUM7,PUM7",pumilio 7,"GO:0003723,GO:0005488"
8,AC177831.3_FG004,,,,,,
9,AC177850.2_FG003,,,,,,
10,GRMZM2G120587,,(M=6) K09646 - serine carboxypeptidase 1 [EC:3.4.16.-],AT2G27920.1,SCPL51,serine carboxypeptidase-like 51,"GO:0006508,GO:0004185"
11,AC183319.3_FG001,,,,,,
12,AC183412.5_FG005,,,AT2G37340.2,"ATRSZ33,RSZ33",arginine/serine-rich zinc knuckle-containing protein 33,"GO:0008270,GO:0003676"
13,AC183509.1_FG001,,,,,,
14,AC183927.3_FG004,,,,,,
15,GRMZM2G066142,,(M=110) PF02458 - Transferase family,AT1G31490.1,,HXXXD-type acyl-transferase family protein,"GO:0016740,GO:0016747"
16,AC183950.2_FG003,,,AT3G44750.1,"ATHD2A,HD2A,HDA3,HDT1",histone deacetylase 3,
17,AC183950.2_FG004,,(M=85) PF03168 - Late embryogenesis abundant protein,AT3G26350.1,,,
18,AC184127.3_FG003,,,,,,
19,AC184133.3_FG001,,,AT5G64130.1,,cAMP-regulated phosphoprotein 19-related protein,
20,AC184170.4_FG002,,,,,,
21,AC184794.2_FG003,,(M=5) PTHR11654//PTHR11654:SF57 - OLIGOPEPTIDE TRANSPORTER-RELATED // SUBFAMILY NOT NAMED,AT3G16180.1,,Major facilitator superfamily protein,"GO:0005215,GO:0016020,GO:0006810"
22,AC185276.2_FG004,,,,,,
23,AC186145.3_FG002,,,,,,
24,GRMZM2G309624,,,AT5G03780.1,TRFL10,TRF-like 10,"GO:0008270,GO:0005515,GO:0003677"
25,AC186669.3_FG002,,,,,,
26,AC187207.3_FG006,,,,,,
27,AC187263.4_FG001,,,,,,
28,AC187567.4_FG004,,,,,,
29,AC187782.4_FG009,,(M=10) PF06376 - Protein of unknown function (DUF1070),AT5G24105.1,AGP41,arabinogalactan protein 41,
30,GRMZM2G066049,,(M=110) PF02458 - Transferase family,AT1G31490.1,,HXXXD-type acyl-transferase family protein,"GO:0016740,GO:0016747"
31,GRMZM2G056079,,,AT1G68650.1,,Uncharacterized protein family (UPF0016),
32,AC188721.3_FG001,,,,,,
33,AC188752.3_FG008,,,,,,
34,GRMZM2G028885,,(M=21) PTHR13778:SF2 - GLYCOSYLTRANSFERASE 8 DOMAIN-CONTAINING PROTEIN 2,AT2G38650.2,"GAUT7,LGT7",galacturonosyltransferase 7,
35,AC190526.3_FG004,,,AT2G41150.2,,,
36,AC190587.3_FG005,,,AT3G43590.1,,zinc knuckle (CCHC-type) family protein,"GO:0008270,GO:0003676"
37,GRMZM2G094808,,,,,,
38,AC190788.2_FG005,,(M=1) PTHR11361:SF3 - GB DEF: HYPOTHETICAL PROTEIN DL4725W (HYPOTHETICAL PROTEIN AT4G17380),AT4G17380.1,"ATMSH4,MSH4",MUTS-like protein 4,"GO:0006298,GO:0005524,GO:0030983"
39,AC190792.2_FG006,,,AT2G20740.1,,Tetraspanin family protein,
40,AC190811.1_FG003,,,,,,
41,AC190841.2_FG007,,,,,,
42,AC191050.3_FG003,,(M=61) PF00190 - Cupin,AT3G22640.1,PAP85,cupin family protein,GO:0045735
43,AC219156.3_FG002,,,,,,
44,AC191421.3_FG001,,,,,,
45,AC191575.2_FG001,,(M=2) PTHR12725:SF15 - PREDICTED PROTEIN (FRAGMENT),AT3G62040.1,,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,GO:0016787
46,AC191601.1_FG003,,,,,,
47,AC191676.3_FG011,,(M=4) PTHR11527//PTHR11527:SF44 - SMALL HEAT-SHOCK PROTEIN (HSP20) FAMILY // SUBFAMILY NOT NAMED,AT5G20970.1,,HSP20-like chaperones superfamily protein,
48,AC191686.3_FG002,,,,,,
